"","date","time","round","team_1","team_2","team_score_1","team_score_2","venue","weather","referees","crowd","surface"
"87","2015-06-06","3:00PM","13","Newcastle","Canberra","22","44","Hunter Stadium","Fine","Grant Atkins, Gavin Reynolds","13504","Good"
"88","2015-06-06","3:30PM","13","South Sydney","Warriors","36","4","NIB Stadium","Fine","Jared Maxwell, Chris Butler","20727","Good"
"89","2015-06-06","7:30PM","13","Penrith","Melbourne","0","20","Pepper Stadium","Fine","Adam Devcich, Alan Shortall","11849","Good"
"90","2015-06-07","4:00PM","13","Cronulla","Sydney Roosters","10","4","Remondis Stadium","Fine","Ben Cummins, Matt Noyen","14235","Good"
"91","2015-06-08","4:00PM","13","Canterbury-Bankstown","St George Illawarra","29","16","ANZ Stadium","Fine","Gerard Sutton, Chris James","27291","Good"
"92","2015-06-08","7:00PM","13","Parramatta","North Queensland","30","36","Pirtek Stadium","Fine","Gavin Badger, Chris Sutton","9812","Good"
"93","2015-05-29","7:45PM","12","Penrith","Parramatta","20","26","Pepper Stadium","Fine","Matt Cecchin, Gavin Morris","17821","Good"
"94","2015-05-30","3:00PM","12","Gold Coast","South Sydney","16","22","Cbus Super Stadium","Fine","Grant Atkins, Gavin Reynolds","15583","Good"
"95","2015-05-30","5:30PM","12","Canberra","Brisbane","12","24","GIO Stadium","Cold","Gavin Badger, Chris Sutton","10090","Good"
"96","2015-05-30","7:30PM","12","North Queensland","Manly","18","14","1300SMILES Stadium","Fine","Ashley Klein, Henry Perenara","14196","Good"
"97","2015-05-31","4:00PM","12","Warriors","Newcastle","24","20","Mt Smart Stadium","Overcast","Ben Cummins, David Munro","13203","Good"
"98","2015-05-31","4:00PM","12","St George Illawarra","Cronulla","42","6","Jubilee Oval","Overcast","Adam Devcich, Alan Shortall","18011","Good"
"99","2015-06-01","7:00PM","12","Sydney Roosters","Melbourne","24","2","Allianz Stadium","Fine","Jared Maxwell, Chris James","8265","Good"
"100","2015-05-22","7:45PM","11","South Sydney","Parramatta","14","12","ANZ Stadium","Rain","Jared Maxwell, Chris James","11658","Heavy"
"101","2015-05-23","7:30PM","11","Wests Tigers","North Queensland","0","8","Campbelltown Stadium","Fine","Matt Cecchin, Gavin Morris","8267","Good"
"102","2015-05-24","4:00PM","11","Canberra","Canterbury-Bankstown","34","41","GIO Stadium","Fine","Ashley Klein, Henry Perenara","12221","Good"
"103","2015-05-25","7:00PM","11","Newcastle","Brisbane","18","31","Hunter Stadium","Fine","Gavin Badger, David Munro","12673","Good"
"104","2015-05-15","7:35PM","10","Canterbury-Bankstown","Sydney Roosters","10","24","ANZ Stadium","Overcast","Gerard Sutton, Alan Shortall","17093","Fair"
"105","2015-05-15","7:35PM","10","North Queensland","Brisbane","31","20","1300SMILES Stadium","Fine","Jared Maxwell, Chris James","24531","Good"
"106","2015-05-16","3:00PM","10","Parramatta","Warriors","13","17","Pirtek Stadium","Fine","Grant Atkins, Gavin Reynolds","11152","Good"
"107","2015-05-16","5:30PM","10","Gold Coast","Cronulla","22","23","Cbus Super Stadium","Fine","Adam Devcich, David Munro","10466","Good"
"108","2015-05-16","7:30PM","10","Melbourne","South Sydney","16","12","AAMI Park","Fine","Matt Cecchin, Henry Perenara","18067","Good"
"109","2015-05-17","2:00PM","10","St George Illawarra","Canberra","32","18","WIN Stadium","Fine","Ben Cummins, Chris Butler","13102","Good"
"110","2015-05-17","4:00PM","10","Newcastle","Wests Tigers","22","12","Hunter Stadium","Fine","Gavin Badger, Ashley Klein","15573","Good"
"111","2015-05-18","7:00PM","10","Manly","Penrith","10","11","Brookvale Oval","Fine","Gavin Morris, Alan Shortall","8025","Good"
"112","2015-05-08","7:35PM","9","Brisbane","Penrith","8","5","Suncorp Stadium","Fine","Matt Cecchin, Gavin Reynolds","24566","Good"
"113","2015-05-08","7:35PM","9","Sydney Roosters","Wests Tigers","36","4","Allianz Stadium","Fine","Jared Maxwell, Chris James","14366","Good"
"114","2015-05-09","3:00PM","9","Canberra","Gold Coast","56","16","GIO Stadium","Fine","Grant Atkins, Gavin Badger","8116","Good"
"115","2015-05-09","5:30PM","9","Cronulla","Warriors","16","20","Remondis Stadium","Fine","Gavin Morris, David Munro","13988","Good"
