"","date","time","round","period","team","score","tries","try_assists","conversions","conversion_attempts","penalty_goals","penalty_goal_attempts","field_goals","field_goal_attempts","sin_bins","send_offs","penalties","scrums","sets","completions","total_runs","total_runs_metres","hitups","hitups_metres","runs","runs_metres","dummy_half_runs","dummy_half_runs_metres","first_receiver_runs","first_receiver_runs_metres","ruck_runs","ruck_runs_metres","kick_return_runs","kick_return_runs_metres","total_runs_in_general_play","total_runs_in_general_play_metres","line_breaks","line_break_assists","tackle_breaks","receives","tackles","one_on_one_tackles","ineffective_tackles","missed_tackles","offloads","errors","kicks","kicks_metres","forty_twenty_kicks","line_dropouts","play_the_balls_total","play_the_balls_slow","play_the_balls_neutral","play_the_balls_fast","possession_percent","used_plays","unused_plays","possession_efficiency_percent"
"906","2015-04-06","7:00PM","5","1st_half","Penrith","6","1","0","1","1","0","0","0","0","","","4","4","17","13","68","534","35","266","20","171","6","34","3","20","0","0","2","15","64","491","2","1","7","174","201","10","9","16","5","5","9 (251m) | 0 | 0","9 (251m) | 0 | 0","9 (251m) | 0 | 0","9 (251m) | 0 | 0","59 | 17 | 39 | 3","59 | 17 | 39 | 3","59 | 17 | 39 | 3","59 | 17 | 39 | 3","45% | 69 | 11 | 86%","45% | 69 | 11 | 86%","45% | 69 | 11 | 86%","45% | 69 | 11 | 86%"
"907","2015-04-06","7:00PM","5","2nd_half","Penrith","4","1","1","0","1","0","0","0","0","","","5","0","23","18","72","554","35","279","12","81","3","18","10","72","4","28","6","49","64","478","1","1","10","186","216","5","4","16","6","5","11 (297m) | 0 | 2","11 (297m) | 0 | 2","11 (297m) | 0 | 2","11 (297m) | 0 | 2","66 | 27 | 25 | 14","66 | 27 | 25 | 14","66 | 27 | 25 | 14","66 | 27 | 25 | 14","44% | 83 | 22 | 79%","44% | 83 | 22 | 79%","44% | 83 | 22 | 79%","44% | 83 | 22 | 79%"
"908","2015-04-06","7:00PM","5","match","North Queensland","30","5","5","4","5","1","1","0","0","","","5","2","38","34","166","1493","80","727","36","304","7","86","20","166","4","37","10","83","147","1320","6","3","32","420","342","8","18","17","6","6","24 (720m) | 0 | 1","24 (720m) | 0 | 1","24 (720m) | 0 | 1","24 (720m) | 0 | 1","155 | 35 | 79 | 41","155 | 35 | 79 | 41","155 | 35 | 79 | 41","155 | 35 | 79 | 41","55% | 180 | 13 | 93%","55% | 180 | 13 | 93%","55% | 180 | 13 | 93%","55% | 180 | 13 | 93%"
"909","2015-04-06","7:00PM","5","1st_half","North Queensland","16","3","3","2","3","0","0","0","0","","","3","2","20","17","79","722","42","355","22","201","3","38","2","20","2","19","4","32","71","633","3","1","16","197","165","4","7","7","4","2","11 (363m) | 0 | 1","11 (363m) | 0 | 1","11 (363m) | 0 | 1","11 (363m) | 0 | 1","72 | 11 | 50 | 11","72 | 11 | 50 | 11","72 | 11 | 50 | 11","72 | 11 | 50 | 11","55% | 88 | 9 | 91%","55% | 88 | 9 | 91%","55% | 88 | 9 | 91%","55% | 88 | 9 | 91%"
"910","2015-04-06","7:00PM","5","2nd_half","North Queensland","14","2","2","2","2","1","1","0","0","","","2","2","18","17","87","771","38","372","14","103","4","48","18","146","2","18","6","51","76","687","3","2","16","223","177","4","11","10","2","4","13 (357m) | 0 | 0","13 (357m) | 0 | 0","13 (357m) | 0 | 0","13 (357m) | 0 | 0","83 | 24 | 29 | 30","83 | 24 | 29 | 30","83 | 24 | 29 | 30","83 | 24 | 29 | 30","56% | 92 | 4 | 96%","56% | 92 | 4 | 96%","56% | 92 | 4 | 96%","56% | 92 | 4 | 96%"
"911","2015-03-27","7:35PM","4","match","Parramatta","29","5","1","3","5","1","1","1","1","","","9","7","37","29","159","1341","74","611","36","299","15","138","15","108","9","74","4","29","149","1230","4","1","20","397","300","13","9","30","13","11","14 (399m) | 0 | 3","14 (399m) | 0 | 3","14 (399m) | 0 | 3","14 (399m) | 0 | 3","136 | 23 | 98 | 15","136 | 23 | 98 | 15","136 | 23 | 98 | 15","136 | 23 | 98 | 15","53% | 165 | 19 | 90%","53% | 165 | 19 | 90%","53% | 165 | 19 | 90%","53% | 165 | 19 | 90%"
"912","2015-03-27","7:35PM","4","1st_half","Parramatta","14","2","0","2","2","1","1","0","0","","","5","4","18","15","78","649","42","339","16","140","8","68","5","39","2","14","2","6","73","600","2","0","11","178","139","5","7","13","5","4","7 (239m) | 0 | 1","7 (239m) | 0 | 1","7 (239m) | 0 | 1","7 (239m) | 0 | 1","66 | 13 | 47 | 6","66 | 13 | 47 | 6","66 | 13 | 47 | 6","66 | 13 | 47 | 6","54% | 81 | 9 | 90%","54% | 81 | 9 | 90%","54% | 81 | 9 | 90%","54% | 81 | 9 | 90%"
"913","2015-03-27","7:35PM","4","2nd_half","Parramatta","15","3","1","1","3","0","0","1","1","","","4","3","19","14","81","692","32","272","20","159","7","70","10","69","7","60","2","23","76","630","2","1","9","219","161","8","2","17","8","7","7 (160m) | 0 | 2","7 (160m) | 0 | 2","7 (160m) | 0 | 2","7 (160m) | 0 | 2","70 | 10 | 51 | 9","70 | 10 | 51 | 9","70 | 10 | 51 | 9","70 | 10 | 51 | 9","53% | 84 | 10 | 89%","53% | 84 | 10 | 89%","53% | 84 | 10 | 89%","53% | 84 | 10 | 89%"
"914","2015-03-27","7:35PM","4","match","South Sydney","16","3","2","2","3","0","0","0","0","","","7","6","35","27","140","996","61","379","29","197","16","121","9","78","8","45","10","102","123","820","3","2","30","341","346","12","22","20","7","14","15 (432m) | 0 | 1","15 (432m) | 0 | 1","15 (432m) | 0 | 1","15 (432m) | 0 | 1","119 | 15 | 78 | 26","119 | 15 | 78 | 26","119 | 15 | 78 | 26","119 | 15 | 78 | 26","47% | 144 | 28 | 84%","47% | 144 | 28 | 84%","47% | 144 | 28 | 84%","47% | 144 | 28 | 84%"
"915","2015-03-27","7:35PM","4","1st_half","South Sydney","12","2","1","2","2","0","0","0","0","","","4","6","18","14","71","493","32","182","16","131","9","70","3","26","1","1","7","59","61","410","1","1","13","164","175","3","9","11","5","7","8 (213m) | 0 | 0","8 (213m) | 0 | 0","8 (213m) | 0 | 0","8 (213m) | 0 | 0","56 | 9 | 37 | 10","56 | 9 | 37 | 10","56 | 9 | 37 | 10","56 | 9 | 37 | 10","46% | 70 | 15 | 82%","46% | 70 | 15 | 82%","46% | 70 | 15 | 82%","46% | 70 | 15 | 82%"
